customer_age,vendor_count,product_count,total_spend,total_orders,average_order_revenue,first_order_rearranged,last_order_rearranged,is_chain_percentage,cluster_dendogram,cluster_kmeans,cluster_birch,cluster_som,cluster_dbscan,cluster_meanshift,customer_region,last_promo,payment_method,hour,day,CUI_American_Percentage,CUI_Asian_Percentage,CUI_Beverages_Percentage,CUI_Cafe_Percentage,CUI_Chicken Dishes_Percentage,CUI_Chinese_Percentage,CUI_Desserts_Percentage,CUI_Healthy_Percentage,CUI_Indian_Percentage,CUI_Italian_Percentage,CUI_Japanese_Percentage,CUI_Noodle Dishes_Percentage,CUI_OTHER_Percentage,CUI_Street Food / Snacks_Percentage,CUI_Thai_Percentage
29,3,3,10.1,3,3.366666667,90,71,0.666666667,3,2,0,0,1,0,2360,FREEBIE,CARD,Lunch,weekend,0,0,0,0,0.475247525,0,0,0,0,0,0,0,0.524752475,0,0
24,3,3,25.08,3,8.36,90,71,0.666666667,3,2,0,0,1,0,4660,DELIVERY,CARD,Afternoon,weekend,0,0,0,0,0,0,0,0,0,0,0.8476874,0,0.1523126,0,0
27,3,3,5.23,3,1.743333333,90,70,1,2,2,0,1,1,0,2440,FREEBIE,CARD,Lunch,weekday,0,0,0,0,0,0,0.313575526,0,0,0.5583174,0,0,0.128107075,0,0
23,2,2,24.17,2,12.085,90,70,0.5,3,2,0,0,0,0,8670,FREEBIE,CARD,Lunch,weekday,0,0.498551924,0,0,0,0.501448076,0,0,0,0,0,0,0,0,0
25,2,4,29.27,2,14.635,90,70,1,2,2,0,0,1,0,4660,-,CARD,Breakfast,weekday,0.676118893,0,0,0,0,0,0,0,0,0.323881107,0,0,0,0,0
25,1,3,13.76,2,6.88,90,70,1,2,2,0,0,1,0,2360,-,DIGI,Dinner,weekday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,3,6,74.94,3,24.98,90,70,0.333333333,3,2,0,3,1,0,8670,FREEBIE,CARD,Late Night,weekend,0.425406992,0.574593008,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,4,8.49,4,2.1225,90,69,1,2,2,0,0,1,0,2490,-,CARD,Dinner,weekend,0,0,0,0,0.255594817,0.36631331,0,0,0,0,0,0,0.144876325,0,0.233215548
21,2,2,24.83,2,12.415,90,69,0.5,3,2,0,0,0,0,8670,-,CARD,Late Night,weekend,0,0.544502618,0,0,0,0,0,0,0,0,0.455497382,0,0,0,0
30,2,3,11.56,3,3.853333333,90,69,1,2,2,0,0,1,0,2360,-,CARD,Breakfast,weekend,0,0,0,0,0,0,0,0,0,0,0,0.529411765,0,0.470588235,0
